City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
0,byron bay,AU,79.95,broken clouds,-28.65,153.6167,Lord Byron Resort
1,punta arenas,CL,53.11,clear sky,-53.15,-70.9167,Hotel Lacolet
2,faanui,PF,81.16,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
3,new norfolk,AU,72.72,scattered clouds,-42.7826,147.0587,Woodbridge on the Derwent
4,cayenne,GF,73.44,broken clouds,4.9333,-52.3333,Central Hôtel
7,fortuna,US,52.66,scattered clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
9,ushuaia,AR,51.42,scattered clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
10,buraydah,SA,60.03,overcast clouds,26.326,43.975,دنا للوحدات السكنية
12,vaini,TO,80.71,broken clouds,-21.2,-175.2,Keleti International Resort
14,hermanus,ZA,73.8,broken clouds,-34.4187,19.2345,Aloe guest house
16,puerto ayora,EC,76.55,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
17,bethel,US,37.76,clear sky,41.3712,-73.414,Hampton Inn Danbury
19,cape town,ZA,75.9,scattered clouds,-33.9258,18.4232,Townhouse Hotel
22,chuy,UY,69.94,clear sky,-33.6971,-53.4616,Alerces
24,rikitea,PF,77.76,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
25,shenzhen,CN,55.83,overcast clouds,22.5455,114.0683,Shenzhen International Elite Hotel
26,gorgan,IR,41.83,overcast clouds,36.8387,54.4348,هتل خیام
31,sampit,ID,77.74,overcast clouds,-2.5333,112.95,Hotel Sultan
32,mindelo,CV,71.87,overcast clouds,16.8901,-24.9804,Solar Windelo
33,athabasca,CA,24.84,overcast clouds,54.7169,-113.2854,Grand Union Hotel
34,brentwood,US,43.09,broken clouds,40.7812,-73.2462,Radisson Hotel Hauppauge-Long Island
35,ponta do sol,PT,60.71,scattered clouds,32.6667,-17.1,Estalagem Ponta do Sol
36,richards bay,ZA,72.36,broken clouds,-28.783,32.0377,Protea Hotel
37,santa isabel do rio negro,BR,73.71,light rain,-0.4139,-65.0192,Hotel Maikon
39,hilo,US,82.13,clear sky,19.7297,-155.09,Dolphin Bay Hotel
41,westport,US,41.56,broken clouds,41.1415,-73.3579,Norwalk Inn and Conference Center
42,lorengau,PG,83.75,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
45,saint-philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le Baril
47,hobart,AU,73.06,broken clouds,-42.8794,147.3294,Vibe Hotel Hobart
48,olafsvik,IS,27.86,broken clouds,64.8945,-23.7142,North Star Hotel Snæfellsnes
49,itarema,BR,77.5,overcast clouds,-2.9248,-39.9167,Pousada Oásis
50,kodiak,US,36.91,light rain,57.79,-152.4072,Shelikof Lodge
53,castro,BR,67.05,light rain,-24.7911,-50.0119,Hotel Central Palace
58,hasaki,JP,39.22,overcast clouds,35.7333,140.8333,大新旅館
59,bredasdorp,ZA,70.05,light rain,-34.5322,20.0403,Victoria Hotel
62,camacha,PT,56.62,broken clouds,33.0833,-16.3333,Praia Dourada
64,garowe,SO,67.3,clear sky,8.4054,48.4845,Red Sea
66,puri,IN,68.52,clear sky,19.8,85.85,Divine Beach Homestay
68,klaksvik,FO,25.72,light snow,62.2266,-6.589,Hotel Klaksvik
69,port macquarie,AU,71.89,broken clouds,-31.4333,152.9167,The Observatory
70,kapaa,US,81.12,clear sky,22.0752,-159.319,Pono Kai Resort
73,channel-port aux basques,CA,41.29,light rain,47.5702,-59.1367,St. Christopher's Hotel
74,ilhabela,BR,76.69,scattered clouds,-23.7781,-45.3581,Vila Kebaya
78,tual,ID,83.28,overcast clouds,-5.6667,132.75,Suita
80,mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Grand Bel Air
82,kihei,US,78.84,scattered clouds,20.785,-156.4656,Maui Beach Resort
84,atuona,PF,78.67,overcast clouds,-9.8,-139.0333,Pearl Resort
87,avarua,CK,82.45,clear sky,-21.2078,-159.775,Paradise Inn
88,oneonta,US,32.29,clear sky,42.4529,-75.0638,Courtyard by Marriott Oneonta
89,jamestown,US,38.84,clear sky,42.097,-79.2353,DoubleTree Jamestown
91,souillac,MU,76.55,broken clouds,-20.5167,57.5167,Hotel SkylineInn
92,corrales,US,44.69,overcast clouds,35.2378,-106.6067,Days Inn by Wyndham Rio Rancho
93,pisco,PE,69.03,scattered clouds,-13.7,-76.2167,La Portada
94,mikhaylovka,RU,27.79,light snow,50.06,43.2379,Дружба
95,isangel,VU,81.25,broken clouds,-19.55,169.2667,Tanna Lodge
97,marfino,RU,27.16,mist,55.7028,37.3822,Можайская
99,bathsheba,BB,76.64,clear sky,13.2167,-59.5167,Atlantis Hotel
100,temerloh,MY,71.98,broken clouds,3.4483,102.4176,Hotel Jelai
102,plettenberg bay,ZA,69.48,overcast clouds,-34.0527,23.3716,Milkwood Manor
107,sorland,NO,33.66,broken clouds,67.667,12.6934,Fagmek Resorts
108,quarai,BR,84.69,clear sky,-30.3875,-56.4514,Hotel União
109,touros,BR,78.96,broken clouds,-5.1989,-35.4608,Pousada Atlântico
110,mar del plata,AR,72.09,few clouds,-38.0023,-57.5575,Nuevo Ostende
111,nabire,ID,83.12,overcast clouds,-3.3667,135.4833,Hotel Anggrek
112,rio gallegos,AR,57.76,broken clouds,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
114,mexico,PH,76.82,overcast clouds,15.0646,120.7198,Buena Amore Hotel
115,norden,DE,39.18,light rain,53.6,7.2,Hotel Ostfriesland
120,dubuque,US,46.67,mist,42.4833,-90.8668,American Inn and Suites
121,hun,LY,54.46,clear sky,29.1268,15.9477,فندق الهروج
123,grand gaube,MU,78.39,scattered clouds,-20.0064,57.6608,Coco Villa
124,champerico,GT,79.16,few clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
126,elizabeth city,US,48.02,overcast clouds,36.2946,-76.2511,Quality Inn
127,salta,AR,69.06,overcast clouds,-24.7859,-65.4117,Ayres de Salta Hotel
128,hithadhoo,MV,79.21,few clouds,-0.6,73.0833,Pebbles Inn
129,ahipara,NZ,72.03,clear sky,-35.1667,173.1667,YHA Ahipara
132,salalah,OM,68.61,broken clouds,17.0151,54.0924,Muscat International Hotel
133,maragogi,BR,77.79,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
134,pacific grove,US,53.87,broken clouds,36.6177,-121.9166,Pacific Grove Inn
135,anapskaya,RU,35.83,few clouds,44.89,37.38,Red Hotel
136,hurghada,EG,57.15,clear sky,27.2574,33.8129,Sea Horse Hotel
139,ronne,DK,39.11,broken clouds,55.1009,14.7066,Det gamle posthus
140,kosai,JP,41.94,scattered clouds,34.7105,137.5316,ルートイン
141,mount gambier,AU,90.54,broken clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
145,shingu,JP,43.07,clear sky,33.7333,135.9833,ホテルニューパレス
148,northam,GB,33.26,broken clouds,51.0333,-4.2167,Durrant House Hotel
149,saint george,US,50.25,clear sky,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
151,tefe,BR,73.74,overcast clouds,-3.3542,-64.7114,Hotel Montecarlo
155,havre-saint-pierre,CA,29.73,snow,50.2334,-63.5986,Complexe MV
157,cockburn town,TC,74.26,clear sky,21.4612,-71.1419,The Salt Raker Inn
158,klupci,RS,47.01,overcast clouds,44.5314,19.2519,Stobex
160,gibara,CU,70.92,clear sky,21.1097,-76.1317,Plaza Colón
162,margate,GB,31.69,scattered clouds,51.3813,1.3862,The Reading Rooms
167,kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
170,hamilton,US,44.78,overcast clouds,39.1834,-84.5333,North Vista Manor
171,killybegs,IE,36.84,overcast clouds,54.6333,-8.45,Bay View Hotel
181,palmas,BR,74.07,scattered clouds,-10.2128,-48.3603,Hotel Triângulo Mineiro
182,lima,PE,73.65,clear sky,-12.0432,-77.0282,Hotel Peach Garden
184,la paz,BO,57.18,scattered clouds,-16.5,-68.15,Alojamiento Tokio
187,cortes,ES,59.05,overcast clouds,41.9395,-1.4396,Casa rural El Talon del Rey
190,kenai,US,31.08,overcast clouds,60.5544,-151.2583,Beluga Lookout Hotel
193,rognan,NO,33.94,overcast clouds,67.0953,15.3878,Rognan hotell
194,tucuman,AR,82.89,broken clouds,-26.8241,-65.2226,Suites San Luis
199,geraldton,AU,66.61,clear sky,-28.7667,114.6,Ocean Centre Hotel
200,salas,ES,54.95,light rain,43.4118,-6.2602,Castillo de Valdés-Salas
204,guerrero negro,MX,64.89,broken clouds,27.9769,-114.0611,Plaza sal paraiso
207,benguela,AO,78.6,overcast clouds,-12.5763,13.4055,Hotel Moibela
208,aquiraz,BR,81.45,overcast clouds,-3.9014,-38.3911,Pousada tia Fabíola
209,ponta delgada,PT,56.12,broken clouds,37.7333,-25.6667,Hotel Talisman
213,khvoynaya,RU,27.73,overcast clouds,58.9,34.5333,Гостиница (2й этаж)
215,bosaso,SO,73.36,few clouds,11.2842,49.1816,Bosaso hotel
217,bengkulu,ID,75.45,overcast clouds,-3.8004,102.2655,Dena Hotel
218,havoysund,NO,34.03,light snow,70.9963,24.6622,Havøysund Hotell
219,saint-pierre,RE,77.92,clear sky,-21.3393,55.4781,Tropic Hotel
223,santa rosa,PH,80.1,overcast clouds,14.3122,121.1114,JARS RESORT
224,ankang,CN,28.74,broken clouds,32.68,109.0172,金友商务酒店
227,alice springs,AU,88.21,clear sky,-23.7,133.8833,Aurora Alice Springs
228,andilamena,MG,64.58,broken clouds,-17.0167,48.5833,Hotely Magic
231,arvika,SE,36.21,overcast clouds,59.6553,12.5852,Jennys Hotell och restaurang
233,huarmey,PE,70.79,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
234,libertador general san martin,AR,85.98,overcast clouds,-23.8064,-64.7876,Hosteria Real Victoria
237,pontianak,ID,75.81,overcast clouds,-0.0333,109.3333,Golden Tulip Hotel
239,iisalmi,FI,27.68,overcast clouds,63.5592,27.1907,Original Sokos Hotel Koljonvirta
242,choszczno,PL,32.79,overcast clouds,53.169,15.4205,Hostel
245,port elizabeth,ZA,74.1,overcast clouds,-33.918,25.5701,Waterford Hotel
251,lira,UG,70.18,broken clouds,2.235,32.9097,Pauline Hotel
252,kjollefjord,NO,33.85,scattered clouds,70.9457,27.3465,Hotel Nordkyn
253,manta,EC,82.18,broken clouds,-0.95,-80.7333,La Gaviota
254,marawi,PH,72.57,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
256,kuala terengganu,MY,76.1,scattered clouds,5.3302,103.1408,Uncle Homestay
257,houma,US,69.01,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
262,hualmay,PE,70.86,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
263,asyut,EG,50.58,clear sky,27.181,31.1837,فندق الحسين
267,victoria,HK,55.94,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
268,quatre cocos,MU,78.1,broken clouds,-20.2078,57.7625,Horisun
270,maceio,BR,78.28,overcast clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
275,ballina,AU,80.02,broken clouds,-28.8667,153.5667,Ballina Beach Resort
278,cam ranh,VN,71.56,broken clouds,11.9214,109.1591,Khách sạn Thái Bình
279,pedernales,DO,75.65,scattered clouds,18.0384,-71.744,Hostal Doña Chava
281,cabo san lucas,MX,74.61,few clouds,22.8909,-109.9124,Comfort Rooms
282,caravelas,BR,75.67,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
284,sao filipe,CV,76.26,overcast clouds,14.8961,-24.4956,Bela Vista
286,lagoa,PT,57.92,broken clouds,39.05,-27.9833,Casa da Madrinha
289,bardiyah,LY,56.79,clear sky,31.7561,25.0865,فندق البردي
291,peace river,CA,20.25,overcast clouds,56.2501,-117.286,New Ridge Inn
292,chimbote,PE,70.09,broken clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
293,winsum,NL,39.18,heavy intensity rain,53.33,6.5208,Bedstee hotel Marenland
298,bonito,BR,73.81,broken clouds,-21.1211,-56.4819,Hotel Pousada Arauna
300,port-gentil,GA,80.87,overcast clouds,-0.7193,8.7815,Tara-Mé
301,husavik,IS,30.92,snow,66.0449,-17.3389,Fosshótel Húsavík
305,san fernando,PH,76.96,overcast clouds,15.0286,120.6898,Pampanga Lodge and Restaurant
306,lewiston,US,33.39,overcast clouds,44.1003,-70.2148,Hampton
308,cidreira,BR,74.55,overcast clouds,-30.1811,-50.2056,Hotel Castelo
309,chateaudun,FR,39.34,broken clouds,48.0833,1.3333,Ibis Budget Chateaudun
312,bhubaneswar,IN,68.22,mist,20.2333,85.8333,Airport Park Villa
313,sechura,PE,73.98,broken clouds,-5.5569,-80.8222,Hospedaje Claritza
316,haines junction,CA,21.29,overcast clouds,60.7522,-137.5108,Parkside Inn
317,jambi,ID,73.56,moderate rain,-1.6,103.6167,Hotel Odua Weston Jambi
318,antofagasta,CL,69.08,clear sky,-23.65,-70.4,Hotel Colón
319,sao joao da barra,BR,75.69,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
320,broken hill,AU,96.94,clear sky,-31.95,141.4333,Ibis Styles
321,dunedin,NZ,64.2,broken clouds,-45.8742,170.5036,Scenic Hotel Dunedin City
322,mabaruma,GY,72.46,scattered clouds,8.2,-59.7833,Monty Brooms Hotel
324,pierre,US,31.12,overcast clouds,44.3683,-100.351,Quality Inn
325,rauma,FI,32.04,scattered clouds,61.1272,21.5113,Hotelli Vanha Rauma
327,laurel,US,47.66,clear sky,39.0993,-76.8483,Quality Inn & Suites
328,spalene porici,CZ,39.65,overcast clouds,49.6137,13.6056,Hotel Pod Kokšínem
329,williamsburg,US,47.73,clear sky,37.2707,-76.7075,Fife & Drum Inn Suites
330,quchan,IR,24.67,few clouds,37.106,58.5095,هتل خیام
332,lusaka,ZM,61.81,moderate rain,-15.4067,28.2871,Lusaka Grand Hotel
335,panama city,PA,80.17,overcast clouds,8.9936,-79.5197,Hostal Familiar Carmencita
336,altagracia de orituco,VE,71.37,few clouds,9.8601,-66.3814,Hotel El Canastro
337,nago,JP,61.23,overcast clouds,26.5881,127.9761,白浜
340,paita,PE,70.63,scattered clouds,-5.0892,-81.1144,Victor's
343,karratha,AU,82.2,broken clouds,-20.7377,116.8463,Karratha International Hotel
345,bonham,US,68.38,clear sky,33.5773,-96.1783,Holiday Inn
346,saint paul,US,36.12,snow,44.9444,-93.0933,Crowne Plaza
347,chingola,ZM,62.37,light rain,-12.529,27.8838,Protea Hotel
349,montepuez,MZ,69.1,light rain,-13.1256,38.9997,Complexo Messalo
351,joacaba,BR,69.1,broken clouds,-27.1781,-51.5047,Hotel Jaraguá
354,nouadhibou,MR,69.48,overcast clouds,20.931,-17.0347,Hotel valencia
355,kendari,ID,81.86,light rain,-3.945,122.4989,City Hotel Kendari
356,jeremie,HT,71.91,few clouds,18.65,-74.1167,Delivrance Hotel
357,coquimbo,CL,64.13,few clouds,-29.9533,-71.3436,Hotel Iberia
359,mehamn,NO,33.75,scattered clouds,71.0357,27.8492,Mehamn Arctic hotell
360,ancud,CL,57.52,broken clouds,-41.8697,-73.8203,Cabañas
363,port hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
364,dawei,MM,63.91,clear sky,14.0833,98.2,Royal Dawei ဟိုတယ်
368,portland,US,51.73,scattered clouds,45.5234,-122.6762,the Hoxton
369,severo-kurilsk,RU,21.42,broken clouds,50.6789,156.125,"""Дом рыбака"""
370,balingasay,PH,78.62,overcast clouds,16.3573,119.8564,Ramos Beach Resort
372,saldanha,ZA,64.78,clear sky,-33.0117,17.9442,Hoedjesbaai
373,mareeba,AU,79.52,overcast clouds,-17.0,145.4333,The Gateway Hotel
375,hervey bay,AU,74.01,light rain,-25.2986,152.8535,Hervey Bay Hotel
377,vardo,NO,35.58,overcast clouds,70.3705,31.1107,Meieriet
378,jackson,US,46.74,overcast clouds,42.4165,-122.8345,Brookside
380,marsabit,KE,67.53,broken clouds,2.3284,37.9899,Chicho Hotel
382,quelimane,MZ,75.45,overcast clouds,-17.8786,36.8883,Mabassa
385,nemuro,JP,20.79,broken clouds,43.3236,145.575,イーストハーバーホテル
386,dumbraveni,RO,38.32,overcast clouds,46.2333,24.5667,Hotel Mario
387,laguna,US,56.28,clear sky,38.421,-121.4238,Holiday Inn Express & Suites
388,sorong,ID,82.2,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
391,riyadh,SA,59.14,scattered clouds,24.6877,46.7219,White Palace Hotel
395,taperoa,BR,75.65,overcast clouds,-7.2075,-36.8267,Hotel Casarão
396,clovis,US,48.47,mist,36.8252,-119.7029,BEST WESTERN Clovis Cole
398,paea,PF,85.71,broken clouds,-17.6833,-149.5833,Taaroa Lodge
399,parana,AR,91.51,clear sky,-31.732,-60.5238,Grand Hotel Alvear
400,belaya glina,RU,31.66,clear sky,46.07,40.86,Нива
401,starkville,US,62.47,overcast clouds,33.4504,-88.8184,Days Inn
403,luanda,AO,77.54,overcast clouds,-8.8368,13.2343,Hotel Forum
404,north bend,US,49.91,clear sky,43.4065,-124.2243,The Mill Casino Hotel
405,oliver,CA,40.91,overcast clouds,49.1831,-119.5524,Coast Oliver Hotel
406,nishihara,JP,60.46,few clouds,26.1842,127.7558,ユインチホテル南城
411,taltal,CL,66.83,few clouds,-25.4,-70.4833,Hostería Taltal
413,abengourou,CI,69.13,clear sky,6.7297,-3.4964,Relief
414,tabou,CI,79.11,few clouds,4.423,-7.3528,hôtel le rochet
416,nyimba,ZM,65.41,overcast clouds,-14.5566,30.8149,Dalitso Guesthouse
419,san cristobal,VE,66.85,broken clouds,7.7669,-72.225,Terra Sur
422,jatai,BR,70.47,light rain,-17.8814,-51.7144,Hotel Rio Claro
423,quang ngai,VN,67.41,overcast clouds,15.1167,108.8,Ngoc Anh
426,lompoc,US,53.78,broken clouds,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
427,hasuda,JP,42.94,scattered clouds,35.9756,139.6508,むさしのグランドホテル&スパ
428,sterling,US,46.42,broken clouds,39.0062,-77.4286,Residence Inn by Marriott Dulles Airport at Dulles 28 Centre
429,masterton,NZ,70.88,few clouds,-40.9597,175.6575,Copthorne Hotel Solway Park
431,hofn,IS,30.7,overcast clouds,64.2539,-15.2082,Guesthouse Dyngja
434,havelock,US,49.95,overcast clouds,34.8791,-76.9013,Quality Inn Havelock Hwy 70
436,santiago del estero,AR,86.95,clear sky,-27.7951,-64.2615,Nuevo Hotel Brístol
440,te anau,NZ,71.01,clear sky,-45.4167,167.7167,Lakeside Motels & Apartments
441,ilinskiy,RU,27.3,light snow,55.619,38.1182,Зодиак
444,dargaville,NZ,71.83,few clouds,-35.9333,173.8833,Central Hotel
447,smithfield,US,34.23,overcast clouds,41.922,-71.5495,Holiday Inn Express & Suites Smithfield
448,naivasha,KE,51.28,clear sky,-0.7167,36.4359,Supa Lodge
453,syracuse,IT,56.57,broken clouds,37.0881,15.2792,Hotel Panorama
457,alcudia,ES,63.19,overcast clouds,39.8532,3.1214,Can Mostatxins
458,grindavik,IS,28.87,scattered clouds,63.8424,-22.4338,The Retreat at Blue Lagoon Iceland
459,namatanai,PG,83.75,light rain,-3.6667,152.4333,Namatanai Hotel
460,jumla,NP,29.88,clear sky,29.2747,82.1838,Amar Sandesh Guesthouse
462,ayorou,NE,67.57,broken clouds,14.7308,0.9174,Hotel Aminokal
464,sept-iles,CA,25.05,light rain,50.2001,-66.3821,Château Arnaud
465,hisar,IN,41.25,clear sky,29.1667,75.7167,OYO Mid City Hotel
467,moberly,US,51.93,clear sky,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
468,lithgow,AU,69.3,broken clouds,-33.4833,150.15,Grand Central Hotel
475,gloversville,US,29.52,clear sky,43.0528,-74.3438,Holiday Inn
476,kalmunai,LK,75.83,broken clouds,7.4167,81.8167,Saji new food
477,shimoda,JP,46.76,overcast clouds,34.6667,138.95,ホテルウラガ
478,constitucion,CL,57.22,scattered clouds,-35.3333,-72.4167,Hostal Alameda
479,paris,FR,39.97,clear sky,48.8534,2.3488,Hôtel Esmerelda
480,canmore,CA,24.39,broken clouds,51.0834,-115.3521,Mountain View Inn
483,sambava,MG,73.45,light rain,-14.2667,50.1667,Royal Sava Hôtel
486,praia da vitoria,PT,57.76,broken clouds,38.7333,-27.0667,Salles
493,angoche,MZ,77.77,light rain,-16.2325,39.9086,Hotel Quirimbas
496,yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Blossom's on Seaspray
497,ndjole,GA,74.66,overcast clouds,-0.1783,10.7649,Motel Kedyann
498,tabuk,PH,71.24,overcast clouds,17.4189,121.4443,Davidson Hotel
500,jalu,LY,54.45,clear sky,29.0331,21.5482,فندق جالو السياحي
502,katsuura,JP,45.34,broken clouds,35.1333,140.3,潮騒の宿
504,kupang,ID,81.79,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
505,atar,MR,70.34,overcast clouds,20.5169,-13.0499,فندق سكليل
507,escanaba,US,34.52,snow,45.7453,-87.0646,Magnuson Grand Pioneer Inn and Suites
508,pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Pousada Brisa Mar
509,vallenar,CL,71.44,clear sky,-28.5708,-70.7581,Hotel del Marqués
510,santa fe,AR,91.02,light rain,-31.6333,-60.7,Intersur Hotel
511,mandera,KE,76.55,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
512,the valley,AI,76.86,clear sky,18.217,-63.0578,CeBlue
513,saint peter,BB,75.45,clear sky,13.25,-59.6167,Ancient Grove
514,kisangani,CD,72.3,broken clouds,0.5167,25.2,Le Chalet
515,kavieng,PG,82.8,light rain,-2.5744,150.7967,Kavieng Hotel
516,sukhumi,GE,47.14,clear sky,43.0033,41.0153,Монэ
518,casper,US,27.19,clear sky,42.8666,-106.3131,Days Inn by Wyndham Casper
519,lakes entrance,AU,83.16,clear sky,-37.8811,147.981,Banjo Patterson Motor Inn
522,liberal,US,48.34,clear sky,37.0431,-100.921,Days Inn
523,porto santo,PT,59.38,broken clouds,33.072,-16.3415,Praia Dourada
526,williams lake,CA,33.06,overcast clouds,52.1415,-122.1445,Coast Fraser Inn
527,kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,The Adventures Inn
530,trelew,AR,68.07,broken clouds,-43.249,-65.3051,Patagonia Suites & Apart
533,marystown,CA,43.7,light rain,47.1666,-55.1483,Marystown Hotel & Convention Centre
534,musoma,TZ,70.83,overcast clouds,-1.5,33.8,New Peninsula Hotel
540,mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Vahiny Hotel
542,ocala,US,57.18,clear sky,29.1872,-82.1401,Hilton Garden Inn
543,pinawa,CA,26.56,overcast clouds,50.1489,-95.8811,Pinawa Motor Inn
546,port lincoln,AU,70.25,moderate rain,-34.7333,135.8667,Boston Hotel
548,mayumba,GA,77.05,moderate rain,-3.432,10.6554,Résidence Hôtelière Fabso
551,vila velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Prainha
552,gladstone,AU,78.73,light rain,-23.85,151.25,Gladstone Downtown Central
553,aksum,ET,56.53,scattered clouds,14.1245,38.7244,Delina Hotel
554,georgetown,MY,78.73,few clouds,5.4112,100.3354,Page 63 hostel
555,aspindza,GE,30.07,overcast clouds,41.5739,43.2483,Atas Erti Ghame
556,iwaki,JP,41.02,clear sky,37.05,140.8833,Iwaki Prince Hotel
558,sfantu gheorghe,RO,41.27,overcast clouds,45.8667,25.7833,Hotel Park
560,copiapo,CL,62.29,clear sky,-27.3667,-70.3333,Hotel Il Riposo
561,rocha,UY,67.5,clear sky,-34.4833,-54.3333,Hotel Municipal
567,nizwa,OM,62.64,broken clouds,22.9333,57.5333,Nizwa Heritage Inn
569,inongo,CD,71.83,overcast clouds,-1.95,18.2667,Chez LELE IYOLO
570,vangaindrano,MG,73.74,light rain,-23.35,47.6,Fanilo
572,esperance,AU,62.64,scattered clouds,-33.8667,121.9,Hospitality
573,irondequoit,US,29.59,scattered clouds,43.2134,-77.5797,Hampton
574,nong ki,TH,62.71,clear sky,14.6868,102.538,resort
576,mogadishu,SO,75.96,clear sky,2.0371,45.3438,SYL Hotel
577,kesova gora,RU,23.07,overcast clouds,57.5836,37.2922,Гостиница Кесова Гора
578,tongren,CN,35.62,overcast clouds,27.7172,109.1853,闽 商大 酒 店
579,along,IN,50.32,overcast clouds,28.1667,94.7667,Hotel Toshi Palace
580,san juan,AR,86.97,overcast clouds,-31.5375,-68.5364,Hotel San Francisco
581,fairmont,US,43.97,overcast clouds,39.4851,-80.1426,Clarion Inn
583,xinxiang,CN,25.54,broken clouds,35.3089,113.8672,凯悦酒店
584,lodwar,KE,84.24,scattered clouds,3.1191,35.5973,Lodwar Modern Lodge
585,yanliang,CN,27.59,overcast clouds,34.6592,109.2292,Jinjiang
586,craig,US,33.75,overcast clouds,40.5153,-107.5464,Quality Inn & Suites
587,eldorado,BR,82.08,broken clouds,-23.7869,-54.2836,Hotel Laçador
589,deyang,CN,30.81,broken clouds,31.1302,104.382,怡家丽景酒店
591,sitka,US,42.69,light rain,57.0531,-135.33,Aspen Suites Hotel
593,hachinohe,JP,31.06,broken clouds,40.5,141.5,スーパーホテル
594,peniche,PT,58.1,overcast clouds,39.3558,-9.3811,Residencial Maciel
596,biltine,TD,67.53,broken clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
597,banda aceh,ID,75.61,overcast clouds,5.5577,95.3222,Hotel 61
600,bundaberg,AU,74.21,light rain,-24.85,152.35,Young Australian Hotel
601,redlands,US,54.55,broken clouds,34.0556,-117.1825,Ayres Hotel Redlands
602,bismarck,US,22.84,mist,46.8083,-100.7837,Radisson Hotel Bismarck
603,kauhajoki,FI,32.11,broken clouds,62.4333,22.1833,Kauhajoen Krouvi
