City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
0,byron bay,AU,-28.65,153.6167,79.95,62,65,9.46,broken clouds
1,punta arenas,CL,-53.15,-70.9167,53.11,37,0,23.02,clear sky
2,faanui,PF,-16.4833,-151.75,81.16,58,97,14.29,overcast clouds
3,new norfolk,AU,-42.7826,147.0587,72.72,46,31,2.98,scattered clouds
4,cayenne,GF,4.9333,-52.3333,73.44,100,75,0.0,broken clouds
5,ust-nera,RU,64.5667,143.2,-22.65,98,100,7.09,overcast clouds
6,belmonte,BR,-15.8631,-38.8828,75.31,87,25,7.38,scattered clouds
7,fortuna,US,40.5982,-124.1573,52.66,76,40,12.66,scattered clouds
8,vestmanna,FO,62.1564,-7.1664,23.92,93,20,1.14,light snow
9,ushuaia,AR,-54.8,-68.3,51.42,57,40,24.16,scattered clouds
10,buraydah,SA,26.326,43.975,60.03,88,91,6.76,overcast clouds
11,beringovskiy,RU,63.05,179.3167,-2.29,86,100,20.29,overcast clouds
12,vaini,TO,-21.2,-175.2,80.71,75,64,7.61,broken clouds
13,port-cartier,CA,50.0334,-66.8654,24.75,88,100,8.23,snow
14,hermanus,ZA,-34.4187,19.2345,73.8,84,54,15.12,broken clouds
15,nanortalik,GL,60.1432,-45.2371,9.25,60,6,16.98,clear sky
16,puerto ayora,EC,-0.7393,-90.3518,76.55,93,78,1.99,broken clouds
17,bethel,US,41.3712,-73.414,37.76,54,0,4.0,clear sky
18,egvekinot,RU,66.3167,-179.1667,-20.0,83,66,18.19,broken clouds
19,cape town,ZA,-33.9258,18.4232,75.9,69,30,7.0,scattered clouds
20,dikson,RU,73.5069,80.5464,-33.11,84,7,7.58,clear sky
21,chokurdakh,RU,70.6333,147.9167,-26.82,96,73,10.33,broken clouds
22,chuy,UY,-33.6971,-53.4616,69.94,74,0,10.83,clear sky
23,sisimiut,GL,66.9395,-53.6735,-3.89,93,100,15.14,light snow
24,rikitea,PF,-23.1203,-134.9692,77.76,69,6,7.2,clear sky
25,shenzhen,CN,22.5455,114.0683,55.83,86,100,6.67,overcast clouds
26,gorgan,IR,36.8387,54.4348,41.83,55,94,0.98,overcast clouds
27,mataura,NZ,-46.1927,168.8643,65.7,55,94,6.71,overcast clouds
28,macamic,CA,48.7502,-78.9996,17.37,94,93,4.52,overcast clouds
29,east london,ZA,-33.0153,27.9116,74.46,94,90,1.74,overcast clouds
30,ust-kuyga,RU,70.0167,135.6,-33.54,99,100,6.71,overcast clouds
31,sampit,ID,-2.5333,112.95,77.74,84,98,1.99,overcast clouds
32,mindelo,CV,16.8901,-24.9804,71.87,81,94,12.75,overcast clouds
33,athabasca,CA,54.7169,-113.2854,24.84,93,97,8.9,overcast clouds
34,brentwood,US,40.7812,-73.2462,43.09,50,75,4.61,broken clouds
35,ponta do sol,PT,32.6667,-17.1,60.71,70,26,5.28,scattered clouds
36,richards bay,ZA,-28.783,32.0377,72.36,88,55,9.98,broken clouds
37,santa isabel do rio negro,BR,-0.4139,-65.0192,73.71,89,80,2.62,light rain
38,qaanaaq,GL,77.484,-69.3632,-10.93,58,78,6.04,broken clouds
39,hilo,US,19.7297,-155.09,82.13,70,0,16.11,clear sky
40,port alfred,ZA,-33.5906,26.891,73.18,98,100,9.22,overcast clouds
41,westport,US,41.1415,-73.3579,41.56,50,75,6.91,broken clouds
42,lorengau,PG,-2.0226,147.2712,83.75,70,100,5.08,overcast clouds
43,provideniya,RU,64.3833,-173.3,6.91,56,75,26.84,broken clouds
44,bluff,NZ,-46.6,168.3333,60.87,72,28,8.93,scattered clouds
45,saint-philippe,RE,-21.3585,55.7679,74.79,82,31,10.33,scattered clouds
46,grand-santi,GF,4.25,-54.3833,71.37,99,66,2.75,broken clouds
47,hobart,AU,-42.8794,147.3294,73.06,62,75,10.36,broken clouds
48,olafsvik,IS,64.8945,-23.7142,27.86,71,61,21.03,broken clouds
49,itarema,BR,-2.9248,-39.9167,77.5,84,99,8.28,overcast clouds
50,kodiak,US,57.79,-152.4072,36.91,93,100,14.97,light rain
